,sequence,probability,state,ok,cd,,ok,cd,
0,Ti/DC,2.775292E-06,ok,2.775292E-06,0,,0.079996508664687,3.49133531281292E-06,5.04633531281292E-06
1,Ti/DC/STBO,1.464708E-06,n,0,1.464708E-06,,,,
2,Ti,0.0799349632224,ok,0.0799349632224,0,,,,
3,Ti/BO/U,1.71116482345744E-07,ok,1.71116482345744E-07,0,,,,
4,Ti/BO/U/STBO,9.0309661334256E-08,n,0,9.0309661334256E-08,,,,
5,Ti/BO,5.85982202097178E-05,ok,5.85982202097178E-05,0,,,,
6,Ti/BO/B6/X/V1,8.13595123572941E-10,ok,8.13595123572941E-10,0,,,,
7,Ti/BO/B6/X/V1/RV/OE/RB,7.48507513687106E-11,n,0,7.48507513687106E-11,,,,
8,Ti/BO/B6/X/V1/RV/OE,2.99403005474842E-10,n,0,2.99403005474842E-10,,,,
9,Ti/BO/B6/X/V1/RV,2.81178474706808E-10,n,0,2.81178474706808E-10,,,,
10,Ti/BO/B6/X/V1/RV/NC/LM/RB,1.5816289202258E-11,n,0,1.5816289202258E-11,,,,
11,Ti/BO/B6/X/V1/RV/NC/LM,6.32651568090319E-11,n,0,6.32651568090319E-11,,,,
12,Ti/BO/B6/X/V1/RV/NC/RB,1.56581263102354E-11,n,0,1.56581263102354E-11,,,,
13,Ti/BO/B6/X/V1/RV/NC,6.26325052409416E-11,n,0,6.26325052409416E-11,,,,
14,Ti/BO/B6/X/V1/RV/NC/V2,0,n,0,0,,,,
15,Ti/BO/B6/X/V1/RV/NC/V2/OL,6.32651568090319E-13,n,0,6.32651568090319E-13,,,,
16,Ti/BO/B6/X/V1/RV/NC/V2/OL/RB,1.5816289202258E-13,n,0,1.5816289202258E-13,,,,
17,Ti/BO/B6/X/RV/NC,0,n,0,0,,,,
18,Ti/BO/B6/X/RV/NC/RB,0,n,0,0,,,,
19,Ti/BO/B6/X/RV/NC/LM,0,n,0,0,,,,
20,Ti/BO/B6/X/RV/NC/LM/RB,0,n,0,0,,,,
21,Ti/BO/B6/X/RV,0,n,0,0,,,,
22,Ti/BO/B6/X,0,n,0,0,,,,
23,Ti/BO/B6,8.12781528449368E-08,n,0,8.12781528449368E-08,,,,
24,Ti/BO/B6/RV,5.20180178207595E-08,n,0,5.20180178207595E-08,,,,
25,Ti/BO/B6/RV/NC,1.17040540096709E-08,n,0,1.17040540096709E-08,,,,
26,Ti/BO/B6/RV/NC/RB,2.92601350241772E-09,n,0,2.92601350241772E-09,,,,
27,Ti/BO/B6/RV/NC/LM,1.17040540096709E-08,n,0,1.17040540096709E-08,,,,
28,Ti/BO/B6/RV/NC/LM/RB,2.92601350241772E-09,n,0,2.92601350241772E-09,,,,
29,Ti/BO/B6/V1,7.31503375604431E-07,n,0,7.31503375604431E-07,,,,
30,Ti/BO/B6/V1/RV,4.68162160386836E-07,n,0,4.68162160386836E-07,,,,
31,Ti/BO/B6/V1/RV/NC,1.04283121226168E-07,n,0,1.04283121226168E-07,,,,
32,Ti/BO/B6/V1/RV/NC/RB,2.60707803065419E-08,n,0,2.60707803065419E-08,,,,
33,Ti/BO/B6/V1/RV/NC/V2/OL,1.05336486087038E-09,n,0,1.05336486087038E-09,,,,
34,Ti/BO/B6/V1/RV/NC/V2/OL/RB,2.63341215217595E-10,n,0,2.63341215217595E-10,,,,
35,Ti/BO/B6/V1/RV/NC/V2,0,n,0,0,,,,
36,Ti/BO/B6/V1/RV/NC/LM/RB,2.63341215217595E-08,n,0,2.63341215217595E-08,,,,
37,Ti/BO/B6/V1/RV/NC/LM,1.05336486087038E-07,n,0,1.05336486087038E-07,,,,
38,Ti/BO/B6/BC/V1/NC/BD/V2,0,n,0,0,,,,
39,Ti/BO/B6/BC/V1/NC/BD/V2/OL,0,n,0,0,,,,
40,Ti/BO/B6/BC/V1/NC/BD/V2/OL/RB,0,n,0,0,,,,
41,Ti/BO/B6/BC/V1/NC/BD/RB,0,n,0,0,,,,
42,Ti/BO/B6/BC/V1/NC/BD,0,n,0,0,,,,
43,Ti/BO/B6/BC/V1/NC/V2/OL/RB,0,n,0,0,,,,
44,Ti/BO/B6/BC/V1/NC/V2/OL,0,n,0,0,,,,
45,Ti/BO/B6/BC/V1/NC/V2,0,n,0,0,,,,
46,Ti/BO/B6/BC/V1/NC/RB,0,n,0,0,,,,
47,Ti/BO/B6/BC/V1/NC,0,n,0,0,,,,
48,Ti/BO/B6/BC/V1/NC/LM,0,n,0,0,,,,
49,Ti/BO/B6/BC/V1/NC/LM/RB,0,n,0,0,,,,
50,Ti/BO/B6/BC/V1,0,n,0,0,,,,
51,Ti/BO/B6/BC/NC,0,n,0,0,,,,
52,Ti/BO/B6/BC/NC/RB,0,n,0,0,,,,
53,Ti/BO/B6/BC/NC/BD,0,n,0,0,,,,
54,Ti/BO/B6/BC/NC/BD/RB,0,n,0,0,,,,
55,Ti/BO/B6/BC/NC/LM/RB,0,n,0,0,,,,
56,Ti/BO/B6/BC/NC/LM,0,n,0,0,,,,
57,Ti/BO/B6/BC,0,n,0,0,,,,
58,Ti/BO/B6/BC/SF/LM/RB,0,n,0,0,,,,
59,Ti/BO/B6/BC/SF/LM,0,n,0,0,,,,
60,Ti/BO/B6/BC/SF/BD,0,n,0,0,,,,
61,Ti/BO/B6/BC/SF/BD/RB,0,n,0,0,,,,
62,Ti/BO/B6/BC/SF,0,n,0,0,,,,
63,Ti/BO/B6/BC/SF/RB,0,n,0,0,,,,
64,Ti/BO/B6/BC/SF/V1/LM,0,n,0,0,,,,
65,Ti/BO/B6/BC/SF/V1/LM/RB,0,n,0,0,,,,
