,sequence,probability,state,Ti/BO/U,Ti/BO/U cd,Ti/DC,Ti/DC cd,,,,,,Ti/BO/U split fraction,,
0,Ti,0.0799349632224,ok,0,0,0,0,,,,,,0.34545,,0.34545
1,Ti/BO/U,1.333273332768E-07,ok,1.333273332768E-07,0,0,0,,,,,,,,
2,Ti/BO/U/B-/B2/V1/NC/B4,0,n,0,0,0,0,,,,,,,,
3,Ti/BO/U/B-/B2/V1/NC/B4/RB,0,n,0,0,0,0,,,,,,,,
4,Ti/BO/U/B-/B2/V1/NC/B4/V2/OL,0,n,0,0,0,0,,,,,,,,
5,Ti/BO/U/B-/B2/V1/NC/B4/V2/OL/RB,0,n,0,0,0,0,,,,,,,,
6,Ti/BO/U/B-/B2/V1/NC/B4/V2,0,n,0,0,0,0,,,,,,,,
7,Ti/BO/U/B-/B2/V1/NC,0,n,0,0,0,0,,,,,,,,
8,Ti/BO/U/B-/B2/V1/NC/RB,0,n,0,0,0,0,,,,,,,,
9,Ti/BO/U/B-/B2/V1/NC/V2,0,n,0,0,0,0,,,,,,,,
10,Ti/BO/U/B-/B2/V1/NC/V2/OL,0,n,0,0,0,0,,,,,,,,
11,Ti/BO/U/B-/B2/V1/NC/V2/OL/RB,0,n,0,0,0,0,,,,,,,,
12,Ti/BO/U/B-/B2/V1/NC/LM,0,n,0,0,0,0,,,,,,,,
13,Ti/BO/U/B-/B2/V1/NC/LM/RB,0,n,0,0,0,0,,,,,,,,
14,Ti/BO/U/B-/B2/V1,0,n,0,0,0,0,,,,,,,,
15,Ti/BO/U/B-/B2,0,n,0,0,0,0,,,,,,,,
16,Ti/BO/U/B-/B2/NC/B4,0,n,0,0,0,0,,,,,,,,
17,Ti/BO/U/B-/B2/NC/B4/RB,0,n,0,0,0,0,,,,,,,,
18,Ti/BO/U/B-/B2/NC,0,n,0,0,0,0,,,,,,,,
19,Ti/BO/U/B-/B2/NC/RB,0,n,0,0,0,0,,,,,,,,
20,Ti/BO/U/B-/B2/NC/LM,0,n,0,0,0,0,,,,,,,,
21,Ti/BO/U/B-/B2/NC/LM/RB,0,n,0,0,0,0,,,,,,,,
22,Ti/BO/U/B-/B2/SF,0,n,0,0,0,0,,,,,,,,
23,Ti/BO/U/B-/B2/SF/RB,0,n,0,0,0,0,,,,,,,,
24,Ti/BO/U/B-/B2/SF/B4,0,n,0,0,0,0,,,,,,,,
25,Ti/BO/U/B-/B2/SF/B4/RB,0,n,0,0,0,0,,,,,,,,
26,Ti/BO/U/B-/B2/SF/LM,0,n,0,0,0,0,,,,,,,,
27,Ti/BO/U/B-/B2/SF/LM/RB,0,n,0,0,0,0,,,,,,,,
28,Ti/BO/U/B-/B2/SF/V1/B4,7.13564687841435E-10,n,7.13564687841435E-10,7.13564687841435E-10,0,0,,,,,,,,
29,Ti/BO/U/B-/B2/SF/V1/B4/RB,1.78391171960359E-10,n,1.78391171960359E-10,1.78391171960359E-10,0,0,,,,,,,,
30,Ti/BO/U/B-/B2/SF/V1/B4/V2,0,n,0,0,0,0,,,,,,,,
31,Ti/BO/U/B-/B2/SF/V1/B4/V2/OL,6.42208219057292E-09,n,6.42208219057292E-09,6.42208219057292E-09,0,0,,,,,,,,
32,Ti/BO/U/B-/B2/SF/V1/B4/V2/OL/RB,1.60552054764323E-09,n,1.60552054764323E-09,1.60552054764323E-09,0,0,,,,,,,,
33,Ti/BO/U/B-/B2/SF/V1/V2/OL/RB,3.46288745570108E-11,n,3.46288745570108E-11,3.46288745570108E-11,0,0,,,,,,,,
34,Ti/BO/U/B-/B2/SF/V1/V2/OL,1.38515498228043E-10,n,1.38515498228043E-10,1.38515498228043E-10,0,0,,,,,,,,
35,Ti/BO/U/B-/B2/SF/V1/V2,0,n,0,0,0,0,,,,,,,,
36,Ti/BO/U/B-/B2/SF/V1,1.37130343245763E-08,n,1.37130343245763E-08,1.37130343245763E-08,0,0,,,,,,,,
37,Ti/BO/U/B-/B2/SF/V1/RB,3.42825858114407E-09,n,3.42825858114407E-09,3.42825858114407E-09,0,0,,,,,,,,
38,Ti/BO/U/B-/B2/SF/V1/LM,2.09871967012187E-08,n,2.09871967012187E-08,2.09871967012187E-08,0,0,,,,,,,,
39,Ti/BO/U/B-/B2/SF/V1/LM/RB,5.24679917530467E-09,n,5.24679917530467E-09,5.24679917530467E-09,0,0,,,,,,,,
40,Ti/BO/U/B-/B2/X,0,n,0,0,0,0,,,,,,,,
41,Ti/BO/U/B-/B2/X/NC/B4,0,n,0,0,0,0,,,,,,,,
42,Ti/BO/U/B-/B2/X/NC/B4/RB,0,n,0,0,0,0,,,,,,,,
43,Ti/BO/U/B-/B2/X/NC,0,n,0,0,0,0,,,,,,,,
44,Ti/BO/U/B-/B2/X/NC/RB,0,n,0,0,0,0,,,,,,,,
45,Ti/BO/U/B-/B2/X/NC/LM/RB,0,n,0,0,0,0,,,,,,,,
46,Ti/BO/U/B-/B2/X/NC/LM,0,n,0,0,0,0,,,,,,,,
47,Ti/BO/U/B-/B2/X/V1/OE,0,n,0,0,0,0,,,,,,,,
48,Ti/BO/U/B-/B2/X/V1/OE/RB,0,n,0,0,0,0,,,,,,,,
49,Ti/BO/U/B-/B2/X/V1/NC/B4/V2,0,n,0,0,0,0,,,,,,,,
50,Ti/BO/U/B-/B2/X/V1/NC/B4/V2/OL,0,n,0,0,0,0,,,,,,,,
51,Ti/BO/U/B-/B2/X/V1/NC/B4/V2/OL/RB,0,n,0,0,0,0,,,,,,,,
52,Ti/BO/U/B-/B2/X/V1/NC/B4,0,n,0,0,0,0,,,,,,,,
53,Ti/BO/U/B-/B2/X/V1/NC/B4/RB,0,n,0,0,0,0,,,,,,,,
54,Ti/BO/U/B-/B2/X/V1/NC/V2/OL,0,n,0,0,0,0,,,,,,,,
55,Ti/BO/U/B-/B2/X/V1/NC/V2/OL/RB,0,n,0,0,0,0,,,,,,,,
56,Ti/BO/U/B-/B2/X/V1/NC/V2,0,n,0,0,0,0,,,,,,,,
57,Ti/BO/U/B-/B2/X/V1/NC,0,n,0,0,0,0,,,,,,,,
58,Ti/BO/U/B-/B2/X/V1/NC/RB,0,n,0,0,0,0,,,,,,,,
59,Ti/BO/U/B-/B2/X/V1/NC/LM,0,n,0,0,0,0,,,,,,,,
60,Ti/BO/U/B-/B2/X/V1/NC/LM/RB,0,n,0,0,0,0,,,,,,,,
61,Ti/BO/U/B-/B2/X/V1,0,n,0,0,0,0,,,,,,,,
62,Ti/BO/U/B-/B2/X/SF/LM,0,n,0,0,0,0,,,,,,,,
63,Ti/BO/U/B-/B2/X/SF/LM/RB,0,n,0,0,0,0,,,,,,,,
64,Ti/BO/U/B-/B2/X/SF,0,n,0,0,0,0,,,,,,,,
65,Ti/BO/U/B-/B2/X/SF/RB,0,n,0,0,0,0,,,,,,,,
66,Ti/BO/U/B-/B2/X/SF/B4,0,n,0,0,0,0,,,,,,,,
67,Ti/BO/U/B-/B2/X/SF/B4/RB,0,n,0,0,0,0,,,,,,,,
68,Ti/BO/U/B-/B2/X/SF/V1/LM,1.52309485569405E-11,n,1.52309485569405E-11,1.52309485569405E-11,0,0,,,,,,,,
69,Ti/BO/U/B-/B2/X/SF/V1/LM/RB,3.80773713923512E-12,n,3.80773713923512E-12,3.80773713923512E-12,0,0,,,,,,,,
70,Ti/BO/U/B-/B2/X/SF/V1/B4/V2/OL,4.66067025842379E-12,n,4.66067025842379E-12,4.66067025842379E-12,0,0,,,,,,,,
71,Ti/BO/U/B-/B2/X/SF/V1/B4/V2/OL/RB,1.16516756460595E-12,n,1.16516756460595E-12,1.16516756460595E-12,0,0,,,,,,,,
72,Ti/BO/U/B-/B2/X/SF/V1/B4/V2,0,n,0,0,0,0,,,,,,,,
73,Ti/BO/U/B-/B2/X/SF/V1/B4/RB,1.29463062733994E-13,n,1.29463062733994E-13,1.29463062733994E-13,0,0,,,,,,,,
74,Ti/BO/U/B-/B2/X/SF/V1/B4,5.17852250935976E-13,n,5.17852250935976E-13,5.17852250935976E-13,0,0,,,,,,,,
75,Ti/BO/U/B-/B2/X/SF/V1,9.95190178710491E-12,n,9.95190178710491E-12,9.95190178710491E-12,0,0,,,,,,,,
76,Ti/BO/U/B-/B2/X/SF/V1/RB,2.48797544677623E-12,n,2.48797544677623E-12,2.48797544677623E-12,0,0,,,,,,,,
77,Ti/BO/U/B-/B2/X/SF/V1/V2,0,n,0,0,0,0,,,,,,,,
