,sequence,probability,state
0,Ti,0.0799349632224,ok
1,Ti/BO/U,1.3332733327680002e-07,ok
2,Ti/BO/U/B-/B2/V1/NC/B4,0.0,n
3,Ti/BO/U/B-/B2/V1/NC/B4/RB,0.0,n
4,Ti/BO/U/B-/B2/V1/NC/B4/V2/OL,0.0,n
5,Ti/BO/U/B-/B2/V1/NC/B4/V2/OL/RB,0.0,n
6,Ti/BO/U/B-/B2/V1/NC/B4/V2,0.0,n
7,Ti/BO/U/B-/B2/V1/NC,0.0,n
8,Ti/BO/U/B-/B2/V1/NC/RB,0.0,n
9,Ti/BO/U/B-/B2/V1/NC/V2,0.0,n
10,Ti/BO/U/B-/B2/V1/NC/V2/OL,0.0,n
11,Ti/BO/U/B-/B2/V1/NC/V2/OL/RB,0.0,n
12,Ti/BO/U/B-/B2/V1/NC/LM,0.0,n
13,Ti/BO/U/B-/B2/V1/NC/LM/RB,0.0,n
14,Ti/BO/U/B-/B2/V1,0.0,n
15,Ti/BO/U/B-/B2,0.0,n
16,Ti/BO/U/B-/B2/NC/B4,0.0,n
17,Ti/BO/U/B-/B2/NC/B4/RB,0.0,n
18,Ti/BO/U/B-/B2/NC,0.0,n
19,Ti/BO/U/B-/B2/NC/RB,0.0,n
20,Ti/BO/U/B-/B2/NC/LM,0.0,n
21,Ti/BO/U/B-/B2/NC/LM/RB,0.0,n
22,Ti/BO/U/B-/B2/SF,0.0,n
23,Ti/BO/U/B-/B2/SF/RB,0.0,n
24,Ti/BO/U/B-/B2/SF/B4,0.0,n
25,Ti/BO/U/B-/B2/SF/B4/RB,0.0,n
26,Ti/BO/U/B-/B2/SF/LM,0.0,n
27,Ti/BO/U/B-/B2/SF/LM/RB,0.0,n
28,Ti/BO/U/B-/B2/SF/V1/B4,7.135646878414348e-10,n
29,Ti/BO/U/B-/B2/SF/V1/B4/RB,1.783911719603587e-10,n
30,Ti/BO/U/B-/B2/SF/V1/B4/V2,0.0,n
31,Ti/BO/U/B-/B2/SF/V1/B4/V2/OL,6.422082190572916e-09,n
32,Ti/BO/U/B-/B2/SF/V1/B4/V2/OL/RB,1.605520547643229e-09,n
33,Ti/BO/U/B-/B2/SF/V1/V2/OL/RB,3.4628874557010814e-11,n
34,Ti/BO/U/B-/B2/SF/V1/V2/OL,1.3851549822804325e-10,n
35,Ti/BO/U/B-/B2/SF/V1/V2,0.0,n
36,Ti/BO/U/B-/B2/SF/V1,1.3713034324576282e-08,n
37,Ti/BO/U/B-/B2/SF/V1/RB,3.4282585811440704e-09,n
38,Ti/BO/U/B-/B2/SF/V1/LM,2.0987196701218678e-08,n
39,Ti/BO/U/B-/B2/SF/V1/LM/RB,5.2467991753046695e-09,n
40,Ti/BO/U/B-/B2/X,0.0,n
41,Ti/BO/U/B-/B2/X/NC/B4,0.0,n
42,Ti/BO/U/B-/B2/X/NC/B4/RB,0.0,n
43,Ti/BO/U/B-/B2/X/NC,0.0,n
44,Ti/BO/U/B-/B2/X/NC/RB,0.0,n
45,Ti/BO/U/B-/B2/X/NC/LM/RB,0.0,n
46,Ti/BO/U/B-/B2/X/NC/LM,0.0,n
47,Ti/BO/U/B-/B2/X/V1/OE,0.0,n
48,Ti/BO/U/B-/B2/X/V1/OE/RB,0.0,n
49,Ti/BO/U/B-/B2/X/V1/NC/B4/V2,0.0,n
50,Ti/BO/U/B-/B2/X/V1/NC/B4/V2/OL,0.0,n
51,Ti/BO/U/B-/B2/X/V1/NC/B4/V2/OL/RB,0.0,n
52,Ti/BO/U/B-/B2/X/V1/NC/B4,0.0,n
53,Ti/BO/U/B-/B2/X/V1/NC/B4/RB,0.0,n
54,Ti/BO/U/B-/B2/X/V1/NC/V2/OL,0.0,n
55,Ti/BO/U/B-/B2/X/V1/NC/V2/OL/RB,0.0,n
56,Ti/BO/U/B-/B2/X/V1/NC/V2,0.0,n
57,Ti/BO/U/B-/B2/X/V1/NC,0.0,n
58,Ti/BO/U/B-/B2/X/V1/NC/RB,0.0,n
59,Ti/BO/U/B-/B2/X/V1/NC/LM,0.0,n
60,Ti/BO/U/B-/B2/X/V1/NC/LM/RB,0.0,n
61,Ti/BO/U/B-/B2/X/V1,0.0,n
62,Ti/BO/U/B-/B2/X/SF/LM,0.0,n
63,Ti/BO/U/B-/B2/X/SF/LM/RB,0.0,n
